time	fd
1257844366.0	1.7264229669802706
1257844366.25	1.7300235261927603
1257844366.5	1.7277926730228357
1257844366.75	1.7330341614234854
1257844367.0	1.7306039496542907
1257844367.25	1.732814505031522
1257844367.5	1.7314462979727065
1257844367.75	1.7084407149041012
1257844368.0	1.7176554472807293
1257844368.25	1.695320746591531
1257844368.5	1.7052461360770408
1257844368.75	1.5950688421624066
1257844369.0	1.6627165146297986
1257844369.25	1.7130040738510142
1257844369.5	1.6524456876041675
1257844369.75	1.7243144038188243
