time	fd
1257825780.0	1.6939964956488098
1257825780.25	1.6928496860394824
1257825780.5	1.6970145416953768
1257825780.75	1.6952690838880875
1257825781.0	1.6839782379424426
1257825781.25	1.6969713170253473
1257825781.5	1.6856457094813586
1257825781.75	1.6766224267354954
1257825782.0	1.6823224490319646
1257825782.25	1.7000686550908195
1257825782.5	1.689195842651762
1257825782.75	1.684620710402314
1257825783.0	1.6890252916259718
1257825783.25	1.6766746348552823
1257825783.5	1.6992995487974847
1257825783.75	1.696258361176569
