time	fd
1257845957.0	1.693325446326154
1257845957.25	1.7028072581393503
1257845957.5	1.6852545316114402
1257845957.75	1.6908067960237603
1257845958.0	1.6853277315074624
1257845958.25	1.6822671412943224
1257845958.5	1.6848342779814034
1257845958.75	1.6936619532792467
1257845959.0	1.6821439644630207
1257845959.25	1.6705656854636
1257845959.5	1.6915202289855624
1257845959.75	1.6844997565026882
1257845960.0	1.6844058407197113
1257845960.25	1.691142975584818
1257845960.5	1.684705251359977
1257845960.75	1.6840629778642384
