time	fd
1256673628.0	1.6765043766242858
1256673628.25	1.689940830932144
1256673628.5	1.6985342884861119
1256673628.75	1.6924782085404824
1256673629.0	1.685704723372171
1256673629.25	1.6984576768598645
1256673629.5	1.6928252336033331
1256673629.75	1.6897723197278083
1256673630.0	1.6847349382235537
1256673630.25	1.6943405891305674
1256673630.5	1.6874972108949082
1256673630.75	1.6892568558934689
1256673631.0	1.6902864101740436
1256673631.25	1.6843163370987795
1256673631.5	1.6890207515069795
1256673631.75	1.6943928971499105
