time	fd
1256781386.0	1.6865581039939688
1256781386.25	1.6853372384892058
1256781386.5	1.6831527104267754
1256781386.75	1.7007246652360566
1256781387.0	1.6838341657793232
1256781387.25	1.679521206923263
1256781387.5	1.6922693824000339
1256781387.75	1.6857995568469155
1256781388.0	1.693149198370995
1256781388.25	1.678291245671008
1256781388.5	1.689906604950418
1256781388.75	1.679618050082896
1256781389.0	1.682668511071471
1256781389.25	1.6834897772643114
1256781389.5	1.6921096523396328
1256781389.75	1.6935746717460005
