time	fd
1257882359.0	1.678024503880617
1257882359.25	1.6797959849841309
1257882359.5	1.6924555862615966
1257882359.75	1.6816569962411816
1257882360.0	1.680816815594921
1257882360.25	1.6890846708615395
1257882360.5	1.6889190347121559
1257882360.75	1.7055706308782517
1257882361.0	1.684843100919073
1257882361.25	1.683623472433704
1257882361.5	1.697800736467539
1257882361.75	1.6846802805983123
1257882362.0	1.6884666985851686
1257882362.25	1.6793698044160046
1257882362.5	1.6838042993358886
1257882362.75	1.684816747328783
