time	fd
1257857410.0	1.6943444283038869
1257857410.25	1.6971597866275752
1257857410.5	1.6860236160964945
1257857410.75	1.6975219006307674
1257857411.0	1.6822752847714069
1257857411.25	1.6788357470180013
1257857411.5	1.6863227105024168
1257857411.75	1.673440212210454
1257857412.0	1.689793176188138
1257857412.25	1.6853920450718296
1257857412.5	1.6902525459117765
1257857412.75	1.6849350830688674
1257857413.0	1.6899435357231891
1257857413.25	1.6828328808518378
1257857413.5	1.6951425310691528
1257857413.75	1.700723223445641
