time	fd
1258447221.0	1.6914901607616097
1258447221.25	1.6931560060646105
1258447221.5	1.699276473248554
1258447221.75	1.6925581540677164
1258447222.0	1.6928772413371482
1258447222.25	1.6797667623192458
1258447222.5	1.6915408575063293
1258447222.75	1.6909001207338448
1258447223.0	1.6932968574232035
1258447223.25	1.688771899942243
1258447223.5	1.6831048866033047
1258447223.75	1.6878201711793037
1258447224.0	1.684956856160807
1258447224.25	1.6929408187714186
1258447224.5	1.683920621108769
1258447224.75	1.6714458738460394
