time	fd
1257902854.0	1.6844797166435892
1257902854.25	1.6762436039519522
1257902854.5	1.6883588354544845
1257902854.75	1.6957339298836955
1257902855.0	1.6870580829876285
1257902855.25	1.6959724374278378
1257902855.5	1.6969015724951655
1257902855.75	1.7025834897752719
1257902856.0	1.6891462224665004
1257902856.25	1.6906087706878528
1257902856.5	1.684880636119349
1257902856.75	1.6712821007446157
1257902857.0	1.6847401226540808
1257902857.25	1.681031259508825
1257902857.5	1.6788763637576438
1257902857.75	1.698901921037378
