time	fd
1256746326.0	1.6912587561325427
1256746326.25	1.683715496594985
1256746326.5	1.6899683846202613
1256746326.75	1.685395428689207
1256746327.0	1.701068763768919
1256746327.25	1.6967708879140604
1256746327.5	1.6974675751218156
1256746327.75	1.7058480412378505
1256746328.0	1.6916957972678708
1256746328.25	1.6756505929885912
1256746328.5	1.6845936672880226
1256746328.75	1.6890658552093327
1256746329.0	1.6990000045809002
1256746329.25	1.7002935047153578
1256746329.5	1.6910069223178883
1256746329.75	1.6769298752890187
