time	fd
1257405982.0	1.6876497371117454
1257405982.25	1.6852201439548369
1257405982.5	1.6722185007263728
1257405982.75	1.6803869139365597
1257405983.0	1.6912098438726029
1257405983.25	1.682565199978427
1257405983.5	1.6942602032530787
1257405983.75	1.6881642017501144
1257405984.0	1.6851476404245742
1257405984.25	1.6850378552874448
1257405984.5	1.6856723056845568
1257405984.75	1.696641728866487
1257405985.0	1.6859209009147489
1257405985.25	1.6866617945189069
1257405985.5	1.6905646634036295
1257405985.75	1.6918360842270057
