time	fd
1257910955.0	1.6904576609090105
1257910955.25	1.7063994254636223
1257910955.5	1.7002735804003537
1257910955.75	1.6997202340195117
1257910956.0	1.7014335179405287
1257910956.25	1.701341906122158
1257910956.5	1.706212746583919
1257910956.75	1.7008835073810957
1257910957.0	1.6983630065402637
1257910957.25	1.6989683457461435
1257910957.5	1.6686058030585136
1257910957.75	1.7095759403221762
1257910958.0	1.663448799822981
1257910958.25	1.6989660846090398
1257910958.5	1.7083790496371687
1257910958.75	1.7013121515510978
