time	fd
1256669880.0	1.7046876330754521
1256669880.25	1.685362092271785
1256669880.5	1.6822158035160895
1256669880.75	1.6806801007989305
1256669881.0	1.690590416392283
1256669881.25	1.6889518094506493
1256669881.5	1.6722800455623728
1256669881.75	1.6849042602110142
1256669882.0	1.6828374502828343
1256669882.25	1.6836252972646673
1256669882.5	1.6880725204683436
1256669882.75	1.6924567720193437
1256669883.0	1.684749544940627
1256669883.25	1.675300435950241
1256669883.5	1.6897470141176767
1256669883.75	1.697153891064941
