time	fd
1257865561.0	1.7006850328192926
1257865561.25	1.696899088583054
1257865561.5	1.6941365506819555
1257865561.75	1.6915381968999739
1257865562.0	1.6854787035466907
1257865562.25	1.6831834053306642
1257865562.5	1.6800031182728952
1257865562.75	1.6820543858802812
1257865563.0	1.6824434123866878
1257865563.25	1.6772005892079653
1257865563.5	1.6886478724747649
1257865563.75	1.6850944658206495
1257865564.0	1.6877798933075576
1257865564.25	1.6912682620323745
1257865564.5	1.6839257495580322
1257865564.75	1.6788527779983777
