time	fd
1257984104.0	1.697456610327826
1257984104.25	1.7126223962742864
1257984104.5	1.709002834235464
1257984104.75	1.6975759501732202
1257984105.0	1.7066535316868048
1257984105.25	1.7113189447995074
1257984105.5	1.7092225930280442
1257984105.75	1.7049437308346682
1257984106.0	1.7016583967825802
1257984106.25	1.704084825326294
1257984106.5	1.6972775306587513
1257984106.75	1.706082070577861
1257984107.0	1.7049863229432434
1257984107.25	1.7079250724374726
1257984107.5	1.6577699791168103
1257984107.75	1.7087129849305251
