time	fd
1258125010.0	1.7028818797532548
1258125010.25	1.6837266159280353
1258125010.5	1.6865573983779318
1258125010.75	1.6859547700792152
1258125011.0	1.696634878407657
1258125011.25	1.7081821859173307
1258125011.5	1.693358963052864
1258125011.75	1.693961674407812
1258125012.0	1.698304878014314
1258125012.25	1.6910488308213398
1258125012.5	1.700272403741414
1258125012.75	1.687061847929635
1258125013.0	1.688251276044282
1258125013.25	1.6979539198209141
1258125013.5	1.694630626087772
1258125013.75	1.6888120516310505
