time	fd
1256898355.0	1.685074945860912
1256898355.25	1.6935942639557169
1256898355.5	1.7134106213331914
1256898355.75	1.6922655366529398
1256898356.0	1.6940038792724208
1256898356.25	1.7061997834310163
1256898356.5	1.690415990661961
1256898356.75	1.6780083757006006
1256898357.0	1.6890689254445335
1256898357.25	1.7020143868028692
1256898357.5	1.6871117171290293
1256898357.75	1.7035296648792064
1256898358.0	1.6761658274338482
1256898358.25	1.6951647357001343
1256898358.5	1.6968299808127691
1256898358.75	1.6888203999102254
