time	fd
1256824580.0	1.6818329912000636
1256824580.25	1.6901269622827457
1256824580.5	1.6971413557153643
1256824580.75	1.696556510661166
1256824581.0	1.6782991805550003
1256824581.25	1.685429878265763
1256824581.5	1.6960806015289123
1256824581.75	1.6925292740393456
1256824582.0	1.6814872675798833
1256824582.25	1.6854803443645934
1256824582.5	1.6841187547633512
1256824582.75	1.6946843419407245
1256824583.0	1.681177214097326
1256824583.25	1.6925467365169593
1256824583.5	1.6867815075619272
1256824583.75	1.694012999409777
