time	fd
1256929835.0	1.6866751705633665
1256929835.25	1.6925789916927825
1256929835.5	1.6833988532614332
1256929835.75	1.6965921373935204
1256929836.0	1.6907865241774773
1256929836.25	1.6947093309868724
1256929836.5	1.6976432621557787
1256929836.75	1.6861634903637963
1256929837.0	1.6783825161699453
1256929837.25	1.6837755092979294
1256929837.5	1.672780830754638
1256929837.75	1.7039709689424467
1256929838.0	1.6945519344305204
1256929838.25	1.6842221492594254
1256929838.5	1.6840504490857675
1256929838.75	1.6954786296515827
