time	fd
1258018582.0	1.6967445114327273
1258018582.25	1.6857443948177393
1258018582.5	1.65731319630895
1258018582.75	1.6666654584315572
1258018583.0	1.681008705609083
1258018583.25	1.6776302464993356
1258018583.5	1.6797031584861375
1258018583.75	1.688027327631665
1258018584.0	1.6809326776693831
1258018584.25	1.6782294682324053
1258018584.5	1.672814476969553
1258018584.75	1.6841728172516794
1258018585.0	1.6923631717182483
1258018585.25	1.6930891302176667
1258018585.5	1.6767976314019326
1258018585.75	1.6950926348711168
