time	fd
1257170744.0	1.7406556524640933
1257170744.25	1.726234008632725
1257170744.5	1.739493899600787
1257170744.75	1.7286552228017875
1257170745.0	1.7445198436515257
1257170745.25	1.7343922774517104
1257170745.5	1.7304194037385523
1257170745.75	1.7305612854215875
1257170746.0	1.7260536651239444
1257170746.25	1.7389968680181318
1257170746.5	1.7332565675392615
1257170746.75	1.7237242222879272
1257170747.0	1.716675371510771
1257170747.25	1.6986006532316276
1257170747.5	1.7229606188488886
1257170747.75	1.6878719230838635
