time	fd
1257915394.0	1.7179250872246539
1257915394.25	1.5844751440170315
1257915394.5	1.7196747370560188
1257915394.75	1.7246364648700956
1257915395.0	1.7051348188526152
1257915395.25	1.7359023995190372
1257915395.5	1.7207106599381203
1257915395.75	1.7342562809677522
1257915396.0	1.633682947955317
1257915396.25	1.7167194683992715
1257915396.5	1.7303325796943314
1257915396.75	1.7207259651569067
1257915397.0	1.7330526233852765
1257915397.25	1.7388645812683916
1257915397.5	1.7197613117005723
1257915397.75	1.707726568132959
