time	fd
1256899705.0	1.6869267527946914
1256899705.25	1.6956231325081927
1256899705.5	1.681788938867863
1256899705.75	1.6788914942019262
1256899706.0	1.69496099505074
1256899706.25	1.6924145527288408
1256899706.5	1.6964567925743226
1256899706.75	1.6836819805729841
1256899707.0	1.6785923964319336
1256899707.25	1.6969937805011934
1256899707.5	1.678242439938196
1256899707.75	1.6818719708764733
1256899708.0	1.6803875153248284
1256899708.25	1.6995301760075932
1256899708.5	1.6991150397015067
1256899708.75	1.6916316105383138
