time	fd
1257168983.0	1.690184908171839
1257168983.25	1.6890037679895236
1257168983.5	1.7035015956110808
1257168983.75	1.6907257741653865
1257168984.0	1.6989912155125488
1257168984.25	1.6988659643732391
1257168984.5	1.6843486065057987
1257168984.75	1.6802118606088865
1257168985.0	1.6875454405298662
1257168985.25	1.6978715520628829
1257168985.5	1.6819123629922783
1257168985.75	1.6833696343390456
1257168986.0	1.7000250150430545
1257168986.25	1.6967220878156057
1257168986.5	1.6999862499890446
1257168986.75	1.6819037558821754
