time	fd
1257893932.0	1.6950481230916337
1257893932.25	1.6906329210250133
1257893932.5	1.7027378034717333
1257893932.75	1.688166046629045
1257893933.0	1.6881031999801812
1257893933.25	1.6859100792630533
1257893933.5	1.6902446548566106
1257893933.75	1.691911943387076
1257893934.0	1.7009262896821604
1257893934.25	1.6913908104666056
1257893934.5	1.6958993630548023
1257893934.75	1.6735277075562167
1257893935.0	1.682191450764971
1257893935.25	1.6875779880162454
1257893935.5	1.695726400712219
1257893935.75	1.696644779341067
