time	fd
1257756649.0	1.58632771204761
1257756649.1	1.5967334885834505
1257756649.2	1.5990857455824765
1257756649.3	1.6205861647286435
1257756649.4	1.6027982631526263
1257756649.5	1.6019820592956167
1257756649.6	1.5924013562342891
1257756649.7	1.591759141054805
1257756649.8	1.5832631630365737
1257756649.9	1.596025521530191
1257756650.0	1.6040856274990547
1257756650.1	1.5952091904854289
1257756650.2	1.5832958255005465
1257756650.3	1.6071437230965784
1257756650.4	1.5954228040507086
1257756650.5	1.5874843888227606
1257756650.6	1.5963554816147192
1257756650.7	1.6198512321651535
1257756650.8	1.5995729396840195
1257756650.9	1.5993892010985464
1257756651.0	1.5747578575073446
1257756651.1	1.6060931664204252
1257756651.2	1.5925944107117402
1257756651.3	1.6044055746386945
1257756651.4	1.590909684644594
1257756651.5	1.6024696927702096
1257756651.6	1.6021277952624957
1257756651.7	1.5970599748137153
1257756651.8	1.6071395406976474
1257756651.9	1.606623054060269
1257756652.0	1.5992888708845658
1257756652.1	1.5949633634199782
1257756652.2	1.6228847864712679
1257756652.3	1.632024295166168
1257756652.4	1.5990687941727988
1257756652.5	1.6062187977359024
1257756652.6	1.6034416051372187
1257756652.7	1.6105312708366393
1257756652.8	1.600674736916705
1257756652.9	1.6162378642972937
