,Unnamed: 0.1,Unnamed: 0,channels,srate,safe,mode,decimate
760,760,760,L1:SQZ-HD_DIFF_RF3_Q_NORM_DQ,2048,safe,clean,32
761,761,761,L1:SQZ-LASER_IR_LF_OUT_DQ,2048,safe,clean,32
762,762,762,L1:SQZ-LO_SERVO_CTRL_OUT_DQ,16384,safe,clean,64
763,763,763,L1:SQZ-LO_SERVO_ERR_OUT_DQ,16384,safe,clean,64
764,764,764,L1:SQZ-LO_SERVO_EXC_OUT_DQ,16384,safe,clean,64
765,765,765,L1:SQZ-LO_SERVO_SLOW_OUT_DQ,2048,safe,clean,32
766,766,766,L1:SQZ-OMC_TRANS_RF3_I_NORM_DQ,16384,safe,clean,64
767,767,767,L1:SQZ-OMC_TRANS_RF3_Q_NORM_DQ,2048,safe,clean,32
768,768,768,L1:SQZ-OPO_IR_LF_OUT_DQ,2048,safe,clean,32
769,769,769,L1:SQZ-OPO_REFL_LF_OUT_DQ,2048,safe,clean,32
770,770,770,L1:SQZ-OPO_REFL_REJECTED_LF_OUT_DQ,2048,safe,clean,32
771,771,771,L1:SQZ-OPO_REFL_RF80_I_NORM_DQ,16384,safe,clean,64
772,772,772,L1:SQZ-OPO_REFL_RF80_Q_NORM_DQ,2048,safe,clean,32
773,773,773,L1:SQZ-OPO_SERVO_CTRL_OUT_DQ,16384,safe,clean,64
774,774,774,L1:SQZ-OPO_SERVO_ERR_OUT_DQ,16384,safe,clean,64
775,775,775,L1:SQZ-OPO_SERVO_EXC_OUT_DQ,16384,safe,clean,64
776,776,776,L1:SQZ-OPO_SERVO_SLOW_OUT_DQ,2048,safe,clean,32
777,777,777,L1:SQZ-OPO_TRANS_LF_OUT_DQ,2048,safe,clean,32
778,778,778,L1:SQZ-SHG_GR_LF_OUT_DQ,16384,safe,clean,64
779,779,779,L1:SQZ-SHG_SERVO_CTRL_OUT_DQ,16384,safe,clean,64
780,780,780,L1:SQZ-SHG_SERVO_ERR_OUT_DQ,16384,safe,clean,64
781,781,781,L1:SQZ-SHG_SERVO_EXC_OUT_DQ,16384,safe,clean,64
782,782,782,L1:SQZ-SHG_SERVO_SLOW_OUT_DQ,2048,safe,clean,32
783,783,783,L1:SQZ-SHG_TRANS_LF_OUT_DQ,2048,safe,clean,32
784,784,784,L1:SQZ-SHG_TRANS_RF35_I_NORM_DQ,16384,safe,clean,64
785,785,785,L1:SQZ-SHG_TRANS_RF35_Q_NORM_DQ,2048,safe,clean,32
786,786,786,L1:SQZ-SHUTTER_H_TRIGGER_OUT_DQ,2048,safe,clean,32
787,787,787,L1:SQZ-SPARE_B_LF_OUT_DQ,2048,safe,clean,32
788,788,788,L1:SQZ-ASC_ANG_P_OUT_DQ,256,safe,clean,1
789,789,789,L1:SQZ-ASC_ANG_Y_OUT_DQ,256,safe,clean,1
790,790,790,L1:SQZ-ASC_POS_P_OUT_DQ,256,safe,clean,1
791,791,791,L1:SQZ-ASC_POS_Y_OUT_DQ,256,safe,clean,1
